"Date","Price","Open","High","Low","Vol.","Change %"
"09/30/2022","621.892","621.879","621.892","621.879","","0.00%"
"09/29/2022","621.879","621.624","621.879","621.624","","0.04%"
"09/28/2022","621.624","618.370","621.624","618.370","","0.53%"
"09/27/2022","618.370","614.624","618.370","614.624","","0.61%"
"09/26/2022","614.624","614.268","614.624","614.268","","0.06%"
"09/23/2022","614.268","614.179","614.268","614.179","","0.01%"
"09/22/2022","614.179","613.377","614.179","613.377","","0.13%"
"09/21/2022","613.367","608.701","613.377","608.701","","0.77%"
"09/20/2022","608.701","604.258","608.701","604.258","","0.74%"
"09/19/2022","604.258","604.183","604.258","604.183","","0.01%"
"09/16/2022","604.183","604.342","611.899","596.790","","-0.05%"
"09/15/2022","604.501","604.258","604.501","604.258","","0.04%"
"09/14/2022","604.258","580.187","604.258","580.187","","4.15%"
"09/12/2022","580.187","521.345","580.187","521.345","","-0.82%"
"09/08/2022","584.972","584.972","584.972","584.972","","-1.22%"
"09/07/2022","592.198","577.151","592.198","577.151","","1.34%"
"09/06/2022","584.362","577.151","584.363","577.151","","1.25%"
"09/05/2022","577.151","577.151","577.151","577.151","","10.70%"
"08/24/2022","521.345","507.313","521.345","507.313","","0.69%"
